caseId,currentMessage,context,historicalResponse,goldIntent
golden-043,@AmazonHelp 6 different emails about the same order and none actually resolve the issue. You should be quite ashamed.,"SUPPORT: @118701 We've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^GK | CUSTOMER: @AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available ! | SUPPORT: @118701 We're following up on this. We'll check this and update you. ^SG | CUSTOMER: @AmazonHelp This has been the most frustrating and useless customer service ever. | SUPPORT: @118701 Sorry about the bad experience, Manak. I'll be sure to pass along your feedback internally. ^MS | CUSTOMER: @AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future. | SUPPORT: @118701 Sorry for the unpleasant experience with the delivery of your order. Request you to write back to the email (1/2)^SQ | SUPPORT: @118701 you've received from our team and we will get back to you with the latest update on your issue. (2/2)^SQ | CUSTOMER: @AmazonHelp I have asked the customer care exec on phone to cancel the order. Don't want to waste any more of my time on this. | SUPPORT: @118701 I'm sorry about the trouble Manak. Kindly reply to the email sent by our team for further assistance. ^GD | CUSTOMER: @AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA | SUPPORT: @118701 Apologies for the experience, Manak. Please reply to the email sent to your registered email. We'll check &amp; assist. (1/2) ^SV | SUPPORT: @118701 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV | CUSTOMER: @AmazonHelp Thanks. I wish the same degree of concern were shown about my complaint though. | SUPPORT: @118701 Could you please confirm if you have replied to our email? ^MK | CUSTOMER: @AmazonHelp I have. And I have spoken to customer care again on chat. | SUPPORT: @118701 If you've replied to the email sent by us, we'll check and get back to you with an update shortly. ^NR | CUSTOMER: @AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint. | CUSTOMER: @AmazonHelp so far, I only keep getting hollow assurances that I will not face this issue again. Don't need assurances, need the product i ordered! | SUPPORT: @118701 Sorry to know about the delivery issue. As you've confirmed sharing your details, you should've received an email from (1/2)^KA | SUPPORT: @118701 our team. Please check and reply, we'll get back. You may check the email here: https://t.co/NTkrxpsbHJ (2/2) ^KA",@118701 Please reply to the email received from our team. We will check and connect with you accordingly. ^RW,OTHER / UNCLEAR
golden-044,@AmazonHelp I've sent a message.  Please check and revert.,"CUSTOMER: @115850 hey I need help regarding my order. | SUPPORT: @131787 We'll certainly help you with your concern, Adit. Could you please elaborate on the issue? ^SY",@131787 We have responded to your DM. ^SF,OTHER / UNCLEAR
golden-045,"@AmazonHelp 登録しました！
ちなみに、学生ではない方で登録したのですが
先程の月額400円ですよね？
動画などいくら観ても大丈夫ですか？ https://t.co/D4Wi1SWYbB","CUSTOMER: @AmazonHelp 
これは、契約したら月400円って
ことで書いてある通りで大丈夫ですか？ https://t.co/UzyaLIHhme | SUPPORT: @134044 はい、Amazonプライムの月間プランは月額400円(税込)です。ご登録から30日間は無料体験となり、その後有料会員へ移行いたします。特典はこちらです、ご参照ください。https://t.co/jGHC0scZcv ET https://t.co/LG29FW9QZQ | CUSTOMER: @AmazonHelp 学生なのですが、一般の方の方と値段と無料試し以外で違いとかは、あるのでしょうか？ | SUPPORT: @134044 Prime Student とAmazonプライムの違いでしょうか？
まず、Studentに月額プランはありません(年会費1900円)。また、Student【無料体験中】は、プライム・ビデオ、Prime Music、Kindleオーナーライブラリーはご利用いただけません。(有料会員の場合は利用可)　https://t.co/sIZrgbfmH8　SM | CUSTOMER: @AmazonHelp スマホからの登録は可能ですか？ | SUPPORT: @134044 はい、スマートフォンからでもご登録いただけます。　SM | CUSTOMER: @AmazonHelp ありがとうございます！
登録してみます٩꒰⍢ ꒱۶ | SUPPORT: @134044 お手数をおかけしますが、よろしくお願いいたします！😉 EK","@134044 恐れ入りますが、Twitter上ではお客様のアカウントを確認することができません。こちらのページでプライム登録状況をご確認ください。（会費プランの欄をご覧ください）https://t.co/tAZnIEswJA
プライム・ビデオ対象作品は、追加料金なしで見放題です。https://t.co/DihUThnyJO RI",Prime & Subscription
golden-046,@AmazonHelp Today,"CUSTOMER: @115821 guaranteed delivery time on target has taken a noticeable turn for the worse. Several of my past few packages have been delayed at the last minute by days. | SUPPORT: @167342 So sorry to hear this! We're here to help in any way we can. Have you noticed any patterns from any particular carrier? ^BL | CUSTOMER: @AmazonHelp Typically this seems like it happens with AMZN. But honestly I have no idea or interest. This is what I normally see: https://t.co/5ZEnsEHGwV | SUPPORT: @167342 Just to confirm, what was the delivery date provided in your confirmation e-mail? You can check for this information here: https://t.co/3U4pjSRH9V ^BH","@167342 I'm sorry for the recent delays. That isn't what we want for you, or any customer. When you have a moment, please reach out to us here so that we can investigate the delays and what options are available.  https://t.co/hApLpMlfHN ^EA",OTHER / UNCLEAR
golden-047,@AmazonHelp just tried your call centre but there is no option other grievance,"CUSTOMER: @115850 pathetic service amazon India. Made a mistake by selecting amazon. | SUPPORT: @121902 That's quite a comment. Looks like you had an unpleasant experience with us. (1/2) ^VM | SUPPORT: @121902 Could you elaborate the query? We'd like to help. (2/2) ^VM | CUSTOMER: @AmazonHelp true, if not then why should I tweet. You guys are just making us fool | SUPPORT: @121902 I understand you're upset. Please do let us know what went wrong, we'd like to assist you. ^EM | CUSTOMER: @AmazonHelp can someone from your team call me. | SUPPORT: @121902 You may reach out to our support team via phone/chat/email here: https://t.co/2t6DQoUmNZ. ^MM | CUSTOMER: @AmazonHelp tried but it's not happening. This is what is service level. When someone asking for call back you guys showing different way | CUSTOMER: @AmazonHelp purely nonsense | SUPPORT: @121902 As this is a social media platform, we can't view your account/order details. (1/2)^HR | SUPPORT: @121902 Could you please let us know what went wrong while trying to reach us? (2/2)^HR","@121902 Please share the required details, here: https://t.co/GIJyeYqKE0 and we'll check this for you. ^YP",OTHER / UNCLEAR
golden-048,@115850 Thankyou #Amazon.in 🤗,"CUSTOMER: Watch amazon and Nokia #UniteFor #Fun by bringing the sensational new Nokia 6 to fans all across India. #AmazonExclusive | CUSTOMER: @115850 Service pathetic | SUPPORT: @173105 That's quite a remark. Could you please let us know where we went wrong so that we can assist you further? | CUSTOMER: @AmazonHelp Return req placed 14/9/17 still pending pathetic service only adv nothing else ridiculous no one called to take return paid the money tho | CUSTOMER: @AmazonHelp Only a single mail recvd post return request rest is silence. Who can help me ? Patiently waiting as we r on da recvg end | CUSTOMER: @115850 Very bad delivery service | SUPPORT: @169997 That's quite a remark. I would like to help! May I know what went wrong? ^HR | CUSTOMER: @115850 Love the new phone... absolute delight to use | SUPPORT: @171263 Thanks a bunch for keeping us posted. We really appreciate this sweet gesture. ^CB | CUSTOMER: @115850  https://t.co/UeIAdurHtJ | SUPPORT: @183162 Looks like you received a defective product from our website. Let us investigate this further and help assist. (1/2) ^VM | SUPPORT: @183162 Please reach us via https://t.co/r8OjOjMdND and we'll look into this for you. (2/2) ^VM | CUSTOMER: @115850 Pls don't buy worst Nokia experience | SUPPORT: @202398 Looks like you had unpleasant experience Please let us know what went wrong so that we can help you out. ^NK | CUSTOMER: @115850 Poor response from Amazon customer delivery service network.fake date committed from Amazon same day delivery this still pending  last week | SUPPORT: @195477 Sorry about the delay. I'd like to take a closer look. Please share your details here: https://t.co/GIJyeYqKE0. ^HD | CUSTOMER: @115850 Increase the exchange phone prise after checking condition | SUPPORT: @286509 The exchange value/discount offered on the new product is provided by our Buyback partners, and decided upon based ^KS 1/2 | SUPPORT: @286509 on the condition of the used product that you want to exchange. ^KS 2/2 | CUSTOMER: @115850 Plus the fact that it never gets delivered and they make false claims and promises and leave silly customer care kids to do prrot talk | SUPPORT: @181479 Kindly fill in your details using the secure link provided earlier, we'll get back to you soon. 2/2^AP | SUPPORT: @181479 I understand your concern. However, as mentioned earlier, we'll not be able to access your account via Twitter. 1/2^AP | CUSTOMER: @AmazonHelp As mentioned earlier 3 mails have been sent including ur MD. get your facts right and then comment. Show some sense in talking with facts. | CUSTOMER: @115850 My sister gifted me redmi worfs are jumping press very hard or miss or type one words print other gving my sister back in eight days sad | SUPPORT: @181479 To help you the best with this, Kindly fill in your details from the secured link provided earlier. ^KS | CUSTOMER: @115850 I think I got gift for my big brother.. 🤘🤘 just at right time. | SUPPORT: @310868 Apologies, Anju. Request you to contact our support team here: https://t.co/hoddG0v35q from the account the order was 1/2 ^NK | SUPPORT: @310868 placed so that we can assist you further. 2/2 ^NK | CUSTOMER: @AmazonHelp Unbelievable. Still on it. U win on stupidity. Carry on with it. No wonder customers are backing off amazon. @115821 | SUPPORT: @181479 I'm afraid we'll not be able to provide any insight until the details are shared. ^SG | CUSTOMER: @AmazonHelp Thanks i will forward. Sister as she bought it for me thanks for quick response | SUPPORT: @296494 That's awesome :)  Happy Birthday big brother ! 🎁 🎊 ^MK | SUPPORT: @310868 Do keep us posted in case of any issues. ^SM | CUSTOMER: @AmazonHelp One correction it not his birthday I just wanted to surprise him with new phone this diwali for his hard work 🤘😇 | CUSTOMER: @115850 My last product nt delivrd. No action frm #CustomerCare aftr many complaints. Will not use amazon again. Terrible #CustomerExperience | SUPPORT: @214943 Apologies, Sumana. I’d like to assist you. Please fill this form: https://t.co/cllwXc2HeK and I’ll contact you soon. ^NK | CUSTOMER: @AmazonHelp Did that many times earlier to no avail, so just decided to give up Amazon | SUPPORT: @214943 I'm sorry you feel that way. If you've replied to our email, I'm sure you would have received a revert from us. ^VM | CUSTOMER: @AmazonHelp Great no need.Espcially when 20 tweets are shared telling u mails have been written.This is amazon for u@Gadgets360 @348 @132995 | SUPPORT: @181479 We wouldn't be able to access your details here, as Twitter is a public platform. I request you to kindly drop (1/2) ^PR | SUPPORT: @181479 your details through the form mentioned above. 2/2 ^PR","@318593 You are welcome, Raj! Could you confirm if you have provided your details? Please keep us posted. ^SF",OTHER / UNCLEAR
golden-049,@AmazonHelp Tried and no support from any of your team. Kindly send me new product against this defective product.,"CUSTOMER: @115850 @AmazonHelp warranty by manufacturer, but no contact details of manufacturer! RUBBISH   Amazon deals for Chor companies https://t.co/0T2yb35KGz | SUPPORT: @170106 Kindly reach out to our support team here: https://t.co/2t6DQoUmNZ, we'll hellp you with the details. ^AP | CUSTOMER: @AmazonHelp I cant find any support or contact details of manufacturer | SUPPORT: @170106 Sorry to hear that. Have you tried connecting to our support team as intimated earlier? ^AB",@170106 I'd like to take a closer look. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^HD,Item Problem
golden-050,@AmazonHelp @115821 haven't received any correspondence,"CUSTOMER: @115850 received a message saying am not reachable and package delayed. So much for @117795 membership. @AmazonHelp | SUPPORT: @158497 I'm sorry about this. Please reach out to our support team here: https://t.co/Jd9sCLO8PT and we'll sort this out. ^SH | CUSTOMER: @AmazonHelp even after #prime and repeated customer calls, didn't get the package in time. Very unlike @115821 | SUPPORT: @158497 I'm sorry about the delay. Kindly drop in your details here: https://t.co/beaaDm0muc and we'll have this resolved for you. ^GK | CUSTOMER: @AmazonHelp @115850 you have made a joke of delivery. Delayed for every order in the past 2 weeks, even after prime subscription | SUPPORT: @158497 I'm sorry for the delay. We truly don't want our customers to experience this. Please provide your 1/2 ^SH | SUPPORT: @158497 details here: https://t.co/C04tirAwIy I'll look into the issue and get back to you. 2/2 ^SH | CUSTOMER: @AmazonHelp I doubt you can help. We had 3 conversations last time, just assurances | CUSTOMER: @AmazonHelp even the form looks intimidating. When you ask phone# why is the URL to twitter message needed.  Can you PM | CUSTOMER: @AmazonHelp @115850 even customer care callback has IVR saying it will be delivered today. The courier guy says it won't. | CUSTOMER: @AmazonHelp @115850 any way to speak to an agent and get pleased with some false assurances? | SUPPORT: @158497 Kindly copy this: https://t.co/iuYaRiHslQ and paste it in the URL field. ^NS | CUSTOMER: @AmazonHelp @115821 great. Couldn't have been more customer pro UX | SUPPORT: @158497 Please let us know if you are still facing issues while sharing your details using the link provided. We'll assist. ^GS | CUSTOMER: @AmazonHelp @115821 on call with your team. Trying to cancel order and prime membership. They are insisting to charge for late delivery too. | SUPPORT: @158497 Request you to fill the form marking URL field as 'NA' so that we could check this for you. ^GS | CUSTOMER: @AmazonHelp @115850 nevermind. Spoke to your ccare... as clueless as they can be. We'll escalate promise. | SUPPORT: @158497 Please share your details in the link provided to you earlier and we'll help you with this. ^SQ | CUSTOMER: @AmazonHelp @115821 @115850 2 days delayed now. 2nd time in 2 weeks. Presenting to you #prime delivery. Beats me. | SUPPORT: @158497 We understand there has been an inconvenience. However, for us to assist you better,(1/2) ^VM | SUPPORT: @158497 please reach us via the link provided earlier and we'll reach out to you soon. (2/2) ^VM | CUSTOMER: @AmazonHelp @115850 already sent details in your regular form | CUSTOMER: @AmazonHelp @115850 look at the message trail for the past 2 weeks and you may realize how frustrating it is. Very very unlike @115821 | CUSTOMER: @AmazonHelp @115850 already provided. No response. No resolution. Stop sugar coating please | SUPPORT: @158497 That's unusual. If you've already replied to the email sent by our team we request (1/2) ^VM | SUPPORT: @158497 you to  wait as they would get back to you soon with an update. (2/2) ^VM | CUSTOMER: @AmazonHelp @115821 that's what am doing everytime I place an order. Can you tell me what's #prime meant for ? | SUPPORT: @158497 I just checked and we have received your details. We will reach out to you soon. ^GK | CUSTOMER: @AmazonHelp @115850 and today it's finally delivered. 3 days late. | SUPPORT: @158497 Sorry about the stretch, Sharad. I'll be sure to forward your feedback internally and work on it. ^MS | CUSTOMER: @AmazonHelp @115850 don't be. You know what... am not home and God knows where the delivery has been made. Feel proud!!! #CustomerService | SUPPORT: @158497 I'm terribly sorry for this situation. Kindly revert to the email sent to you by our team and we'll connect with you on this. ^MP | CUSTOMER: @AmazonHelp don't feign ignorance. for this long chain and so many conversations don't tell me I got to fill the form again.,\ | CUSTOMER: @AmazonHelp @115850 I'm terribly FRUSTRATED for this situation. Kindly revert to the email sent to you by ME and connect with ME on this. | SUPPORT: @158497 We will reach out to you soon. 2/2^SB | SUPPORT: @158497 We would not be able to reach out to you via twitter. Please reply back to the correspondence which we have sent. 1/2^SB",@158497 If you aren't able to find the email kindly fill your details here:  https://t.co/4YzqNlnZkr ^SH,OTHER / UNCLEAR
golden-051,#Amazon who packages these games. Ordered to games and both came rattling inside their cases. One is broken. Games may have suffered scratches. @115821 https://t.co/KqpOkpLeP8,,@116912 I'm sorry your items arrived in these conditions. Let's explore your return or replacement options here: https://t.co/RbboDygtAu ^GG,Item Problem
golden-052,尼が地方で発売日にこないというか法則がわかった。アマゾン限定の特典がついとるやつは、東京(関東発)で発売日に発送になってる。だから、ラベとか今回の娘。とかのポストカード、クリアファイルついてるやつは遅いんだな。,,@168221 リプライ失礼いたします。発売日／発売日前日のお届けの対象となるのは、「発売日／発売日前日のお届け対象商品」をお急ぎ便でご注文いただいた場合となっております。詳しくは、こちらをご参照ください。 https://t.co/f3TKbgOOgv YM,Delivery & Tracking
golden-053,@AmazonHelp In my recent order of worth 11k.. I had no option to pay via card. No machine available with delivery personnel. Going back to stone age? #delhivery,,@138636 MPOS devices are provided depending on their availability for a COD order shipped by Amazon Transport Services. While we're unable to guarantee the availability; request you to have the requisite cash ready when receiving the order.^GD,Payment & Charges
golden-054,"@AmazonHelp https://t.co/uepE9W0fzy
Die Bonbons die jede(r) Vielbahnfahrer(in) kennt! :3","CUSTOMER: Hey @AmazonHelp 
Ich war an dem gesamten Tag nicht zuhause und habe in meinem Briefkasten auch keine Benachrichtigungskarte... https://t.co/GYS9FcakT6 | SUPPORT: @125875 Hi, bitte informiere die Kollegen darüber: https://t.co/ohyvGrpvrY Diese überprüfen gerne, wo dein Paket abgeblieben ist. ^SI | CUSTOMER: @AmazonHelp Ich hab euch mal gemailed :)
Laut Tracking Nr ist das Paket bei einem Nachbarn (im selben Haus) gelandet, welchen ich nicht finden kann. | SUPPORT: @125875 Vielen lieben Dank für deine Mühen! Ich hoffe sehr, dass du deine Lieferung bald in deinen Händen halten kannst. :) ^SI | CUSTOMER: @AmazonHelp Ich auch.
Ich mag diese Bonbons verdammt gerne und ich habe keine mehr! :&lt; | SUPPORT: @125875 Ohne meine tägliche Süßigkeitenration werde ich zum bösen Gremlin. 🍪 Jetzt hast du mich neugierig gemacht, welche Bonbons? 😁 ^SI","@125875 Jetzt kann ich die Dringlichkeit noch besser nachvollziehen. 🍬😍 Ich hoffe, dein Zuckerschock-Pegel ist noch im grünen Bereich? 😅 ^SI",OTHER / UNCLEAR
golden-055,@115850 please upgrade servers. Amazonpay balance never gets updated in 15 mins. your customer care asks to wait for 2-4 hours. shabby!,,@170817 Thank you for flagging this; I've noted your comments and forwarded them to the team internally for further review. ^AP,Payment & Charges
golden-056,@115821 I made an order with prime delivery and it was supposed to arrive 2 days ago but I'm still waiting. When I'm paying for a service I expect to have it!,,"@143398 I'm so sorry for the frustration with your order! Just to confirm, which amazon website did you purchase from?  ^DG",Delivery & Tracking
golden-057,"@AmazonHelp See if you can make sense of it? 

Thank you for your help","CUSTOMER: My Rationale CD didn’t come by Royal Mail 😩 So here’s me grabbing onto the final glimpse of hope that @115830 uses a carrier pigeon 🤦🏼‍♀️ | SUPPORT: @183548 Hi, sorry to hear that. What carrier is delivering your item: https://t.co/aaDyEz1VgE? ^JJ | CUSTOMER: @AmazonHelp It just says Amazon Shipping? It says that it’s out for delivery and had an email saying I will receive it today. Can I DM you the order #","@183548 We're not able to access account info via Twitter, and deliveries are made until 21:00. Keep us updated on the delivery! ^JE",OTHER / UNCLEAR
golden-058,"@116090 Hi, I'm in Toronto. If I'm ordering a snow blower, which carrier will it ship out with? https://t.co/P40IbHmeUM",,"@140821 Our orders are shipped through multiple carriers, and we're not able to tell which carrier an item will ship through until after an order is placed and is processed for shipment. I'm sorry for the inconvenience. ^GR",Delivery & Tracking
golden-059,"@AmazonHelp Oh you are so considerate, then why can't you treat the orders you take with same consideration, #Awful customer service","CUSTOMER: @AmazonHelp  where does a customer goes to share his/her concerns about the fullfillment centre | SUPPORT: @119907 Could you please elaborate your concern about the fulfillment center so that I can assist you accordingly?^SF | CUSTOMER: @AmazonHelp #unprofessional order id # 
403-7503264-7181114,403-8300003-6354735,403-5491238-8117144 | CUSTOMER: @AmazonHelp Being #harrassed by the delivery guys for days, reached out to customer service multiple times but hardly any resolution ! | CUSTOMER: @AmazonHelp #Discrimination if you can't deliver at rural locations please don't take an order but do not discriminate customers! | CUSTOMER: @AmazonHelp LMK if you need more elaboration, i am free all day, i love ordering on #Amazon and then spend weeks trying to get delivery issues resolved🤣 | SUPPORT: @119907 Please share your details here: https://t.co/GIJyeYqKE0 and I'll reach out to you. (2/2) ^KA | SUPPORT: @119907 This doesn't seem to be right. Apologies for the delivery issue. This isn't what we intended. (1/2) ^KA | SUPPORT: @119907 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",@119907 We'd like to help with that. Kindly drop in your details using the link provided above and we'll reach out to you. ^AB,Delivery & Tracking
golden-060,"@115850 how to get updates about your order
if you are not getting it on a website?",,@146145 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Delivery & Tracking
golden-061,@AmazonHelp Yes. Without any change of content. Amazon is sending all emails with “apologize” and we will take action within 3-5 days for past 60 days,"CUSTOMER: @115850 poor customer support and refund process take almost 2 months and still pending. | SUPPORT: @122363 Sorry to know about the delay in refund. Kindly fill in your details here: https://t.co/cllwXc2HeK, and I'll look into it. ^NR | CUSTOMER: @AmazonHelp Thanks. Updated the information on the given link. Is this again going to be 3-5 days? | SUPPORT: @122363 Thank you for sharing the details. We'll check your concern and reach out to you at earliest. Rest assured. ^SV | CUSTOMER: @AmazonHelp Thank you 😊 | SUPPORT: @122363 You're welcome. Do keep us posted if you've any further queries. :) ^MO | CUSTOMER: @AmazonHelp Is there any action taken on my issue. Now it’s 3rd month and still struggling with amazon ! 🙄🙄🙄 | SUPPORT: @122363 You can check for our response here: https://t.co/DTSNmGldJf. Hope this helps. ^CB | CUSTOMER: @AmazonHelp I am getting same response past 2 months. I am asking for status, not a messages that u sent ! | SUPPORT: @122363 Please respond to the same email you've received from the Social Media team and we'll check this for you. ^HN | CUSTOMER: @AmazonHelp I have replied all ur emails. But, after last week no response on the status and didn’t get message from you today as u mentioned. | SUPPORT: @122363 Apologies. Could you confirm If you are receiving emails from our team after you respond to them? If not, let us know. ^NK","@122363 Sorry for the inconvenience. Request you to respond to the email you've received from social media team, (1/2)^SU",OTHER / UNCLEAR
golden-062,@AmazonHelp @127852 I have yet to receive my battlefront 2 beta for ps4. Can you help? I preordered from Amazon.,,"@164533 Oh no! When did you place the order, Michael? Have you checked your e-mails as well as spam and junk folders? ^TG",Product & Digital Services
golden-063,@115851 @AmazonHelp @115850 @115821 fire the india sales team. For last 6 days they schedule and cancel the pickup. 404-7148114-1043526,,@120778 We have sent you a correspondence here: https://t.co/DTSNmGldJf Kindly check &amp; write back to it for further 1/2 ^SY,Delivery & Tracking
golden-064,"偽アマゾンから迷惑メールきた～。
#迷惑メール https://t.co/0qwsO6ZdyY",,@143746 ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。https://t.co/st4oU5QbhP を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ https://t.co/zHTX3BcqYw SK,Account & Security
golden-065,"I have to say, @115821, Amazon Logistics is truly awful. In the last 6 wks they lost 2 packages, and now another is late with little info.",,@179940 Please provide your details here: https://t.co/9ud7816UjL and my team will escalate the order to Amazon Logistics. ^EZ,Delivery & Tracking
golden-066,"@115850 baar bar jhuth 48 hours me problem solve ho jayegi.. or fir dobara 48 ghante , customer velle hai kya
?","CUSTOMER: @115850 is fraud , by order id 406-2561088-9385145 i bought the bag which i wanted to return. pickup b kr lia , paise b nhi de rhe,",@191572 Sorry about the delay. Kindly drop in your details here: https://t.co/tEwiwWOfvq and we'll work on it. Please don’t provide [1/2],OTHER / UNCLEAR
golden-067,Ermmm @115830 I'm not okay with giving this to my niece for Xmas. Replacement please. https://t.co/fxjPhNIzJa,,@132137 Sorry for the damage to your order. Please look into returns/replacement options here: https://t.co/owmaM1NwJZ ^RS,Item Problem
golden-068,@1584 be careful while ordering any item from @115850 and asking for an extended warranty. Activating the warranty is a nightmare,,@121277 I couldn'r comprehend you issue could you please elaborate? ^VH,Product & Digital Services
golden-069,@115821 very pathetic product quality,,@169493 Looks like you had an unpleasant experience with us. Please let us know what went wrong so that we 1/2 ^SH,Item Problem
golden-070,"@AmazonHelp Estamos en plazo aún, Entrega el martes, 17 oct 😙. Creo que alguien en @133260 se ha olvidado de escanear el código","CUSTOMER: @AmazonHelp Hola! Es normal que un paquete salga de Amazon el lunes y no haya llegado al transportista? https://t.co/LmQZLQzLXH | SUPPORT: @137851 Hola, Marsh. ¿Nos indicarías cuál es la fecha de entrega de tu pedido? ^JQ",@137851 Aún esperamos que sea entregado en la fecha indicada. Los detalles de seguimiento podrían actualizarse en cualquier momento. ^JQ,Delivery & Tracking
golden-071,@AmazonHelp 送らせてもらいました。,"CUSTOMER: アマゾンに酒を箱入りの酒を頼んだら過剰包装だったのはいいんだけど、ビニール包装がきつすぎたのか箱が多少歪んでいた。あのさあ… | SUPPORT: @169672 ツイート拝見させていただきました。
お届けした商品の梱包状態について適切ではないとお感じになられた場合には、今後の改善のため以下のリンクから「梱包についてのご意見」より感想やご意見をお送りください。https://t.co/KtF9HIYvh9 TY","@169672 お手数をおかけいたしました。
お客様のお声をもとに、今後の梱包サービスの改善に努めてまいります。ご連絡ありがとうございました。 RI",OTHER / UNCLEAR
golden-072,@AmazonHelp @115850 Does sorry make sense? Get me the damages sir. stop lying and playing with emotions of your customers.,"CUSTOMER: @AmazonHelp @115850 
Ordered slipper got delayed by 4 days then it got cancelled. CC kept telling it will arrive next day. | SUPPORT: @162750 I'm sorry to know about the issue with delivery. We regret about the disappointing experience. ^NR 1/2 | SUPPORT: @162750 I'll share this as a feedback internally to the concerned team for review. ^NR 2/2","@162750 I'm afraid, canceled orders can't be reinstated. Request you to place a new order. (1/2)^SQ",Returns & Refunds
golden-073,"@AmazonHelp ご親切にどうもありがとうございます。
買おうと思った商品が出品者の意向でキャンセルになり、同じ商品が出品されたまま１万円値段が上がっていました。不可解です。",CUSTOMER: うええ……Amazonさんで9800円のお買い物してお金払ったのに商品が不良品で出荷できなくなり、アマゾンギフト券で9800円戻されても……ちょっと金額大きいんですけど……。 | SUPPORT: @118163 ご迷惑をお掛けしております。返金のAmazonギフト券は、銀行振込による返金に変更することが可能です。ご希望の場合は、口座情報などをお伺いする必要がございますので、お手数ですが、リンクよりカスタマーサービスにお電話にてお問い合わせください。https://t.co/J6YEizo6qC TN,@118163 Amazon以外の出品者の販売商品につきましては、各出品者が出品価格を自由に設定できます。しかしながら、当サイトでは、各出品者が商品を適切な価格で出品するべきであると認識しておりますため、貴重なご意見として頂戴いたします。SM,Seller & Marketplace
golden-074,@AmazonHelp Done already!,CUSTOMER: @115850 @115821 One of the order is not delivered completely and apparently it isn’t eligible for a return! Please advise. | SUPPORT: @185185 I'm sorry about the situation. Kindly contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^VR | CUSTOMER: @AmazonHelp they were not able to assist. Approaching Consumer Court! Sad service for a Prime member!! | SUPPORT: @185185 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,"@185185 If you've shared your details, we will look into it and get back to you with an update shortly. ^SQ",OTHER / UNCLEAR
golden-075,@AmazonHelp 丁寧にありがとうございます,CUSTOMER: アマゾンで頼んだ商品が自宅にいないのに配達完了になった | SUPPORT: @120090 ご心配をおかけしております。配達完了でも商品未着の場合、下記ヘルプの内容をご確認ください。https://t.co/aABELyb8qu  解決しない場合は、以下より当サイトへお問合せください。https://t.co/J6YEizo6qC  　SM,@120090 とんでもないことでございます。お困りのことがございましたら、ご遠慮なくお知らせください。 YM,OTHER / UNCLEAR
golden-076,"@AmazonHelp why ??
at this location many companies providing COD except Amazon ..
no idea why u r not providing such that ..","CUSTOMER: @AmazonHelp
why Cash on Delivery facility not available on 306401, on all products, i tried for many time but not available at payment time | SUPPORT: @168215 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN | CUSTOMER: @AmazonHelp there are no option showing related to my issue ..
please take it serious .. | SUPPORT: @168215 Please connect with us using any of your previous orders and we'll get this checked. ^HD | CUSTOMER: @AmazonHelp why r you not understanding ..
there r not showing any option relating to my issue after choosing any of ordee | SUPPORT: @168215 Due to carrier constraints, we are not able to provide cash on delivery to a few pin codes. (1/n) ^SV | SUPPORT: @168215 We are working on this, in the meantime, you can use our prepaid methods you see on the payment page. (2/2) ^SV","@168215 As stated earlier, due to carrier constraints we cannot deliver to some pincodes. (1/2)^SQ",Payment & Charges
golden-077,@AmazonHelp Ordered on Tuesday evening for guaranteed Thursday delivery. Now delayed until 4 Dec at latest apparently.,"CUSTOMER: @AmazonHelp Had Prime trial a few weeks. Made 2 orders. Both delayed beyond GUARANTEED delivery date. Dont guarantee what you cant deliver. | SUPPORT: @138301 Hi Richard, I am sorry to hear that without going into personal account info can you tell us more about this please? ^HS","@138301 Richard, thank you for trying out our Prime membership. Did you receive a reason for the delayed ship date? You can confirm here: https://t.co/Y5jpI9gRhE. If not, please reach out to us here: https://t.co/hApLpMlfHN to discuss what options are available to you. ^SY",Delivery & Tracking
golden-078,"Email: __email__
Multiple times account put on hold.
Give some reasons and unblock my account ASAP. #pathetic @115850 @115821 https://t.co/JLxEYvV4ex",,@172135 We request you to kindly reply back to the e-mail from the specialty team with the supporting documents. (1/2) ^CB,Account & Security
